source,target
SLC30A8,ccsb orf id: 9916
SLC30A8,SLC18A1
SLC30A8,SLC30A3
SLC30A8,PKMYT1
SLC30A8,VAMP1
SLC30A8,TMEM50A
SLC30A8,SYS1
SLC30A8,SELENOK
SLC30A8,REEP6
SLC30A8,TMEM11
SLC30A8,DERL1
SLC30A8,HMOX2
SLC30A8,PTPN9
SLC30A8,THSD7B
SLC30A8,SFT2D1
SLC30A8,VAMP1
SLC30A8,PLN
SLC30A8,GPR37L1
SLC30A8,CCL4
SLC30A8,TMEM50A
SLC30A8,AQP6
SLC30A8,FAM209A
SLC30A8,TMEM11
SLC30A8,GPR42
SLC30A8,GRM2
SLC30A8,ccsb orf id: 13502
SLC30A8,MUC1
SLC30A8,PGRMC2
SLC30A8,VAMP2
SLC30A8,LEUTX
SLC30A8,NKG7
SLC30A8,SFT2D2
SLC30A8,TSPAN2
SLC30A8,CPLX4
SLC30A8,TMEM52B
SLC30A8,HMOX2
SLC30A8,PTPN9
SLC30A8,THSD7B
SLC30A8,ccsb orf id: 2260
SLC30A8,PCNA
SLC30A8,RTN3
SLC30A8,ERVFRD-1
SLC30A8,CLDN6
SLC30A8,EBP
SLC30A8,BIK
SLC30A8,FAXDC2
SLC30A8,SLC30A3
SLC30A8,PKMYT1
SLC30A8,VAMP1
SLC30A8,PLN
SLC30A8,GPR37L1
SLC30A8,CCL4
SLC30A8,TMEM50A
SLC30A8,SYS1
SLC30A8,SELENOK
SLC30A8,REEP6
SLC30A8,TMEM11
SLC30A8,YIPF6
SLC30A8,GRM2
SLC30A8,DERL1
SLC30A8,OTULINL
SLC30A8,ORMDL1
SLC30A8,VAMP2
SLC30A8,ARL8B
SLC30A8,ATP13A1
SLC30A8,NKG7
SLC30A8,SFT2D2
SLC30A8,CMTM7
SLC30A8,YIPF4
SLC30A8,TMEM208
SLC30A8,TSPAN2
SLC30A8,HMOX2
SLC30A8,PTPN9
SLC30A8,THSD7B
SLC30A8,SFT2D1
SLC30A8,FAXDC2
SLC30A8,PLN
SLC30A8,GPR37L1
SLC30A8,CCL4
SLC30A8,YIPF6
SLC30A8,GRM2
SLC30A8,OTULINL
SLC30A8,ORMDL1
SLC30A8,VAMP2
SLC30A8,ARL8B
SLC30A8,ATP13A1
SLC30A8,NKG7
SLC30A8,SFT2D2
SLC30A8,CMTM7
SLC30A8,YIPF4
SLC30A8,TMEM208
SLC30A8,TSPAN2
SLC30A8,BIK
SLC30A8,p08563-pro_0000041304
SLC30A8,PTPN9
SLC30A8,THSD7B
SLC30A8,ccsb orf id: 2260
SLC30A8,PCNA
SLC30A8,PLN
SLC30A8,GPR37L1
SLC30A8,CCL4
SLC30A8,FAM209A
SLC30A8,GPR42
SLC30A8,GRM2
SLC30A8,MUC1
SLC30A8,PGRMC2
SLC30A8,VAMP2
SLC30A8,LEUTX
SLC30A8,NKG7
SLC30A8,SFT2D2
SLC30A8,TSPAN2
SLC30A8,FAXDC2
SLC30A8,CPLX4
SLC30A8,SLC30A3
SLC30A8,TMEM52B
SLC30A8,PKMYT1
SLC30A8,VAMP1
SLC30A8,TMEM50A
SLC30A8,AQP6
SLC30A8,TMEM11
SLC30A8,ccsb orf id: 13502
SLC30A8,ERVFRD-1
SLC30A8,CLDN6
SLC30A8,HMOX2
FAXDC2,SLC30A8
ANK1,SLC30A8
ANK1,SLC30A8
ANK1,SLC30A8
ANK1,SLC30A8
ccsb orf id: 9916,SLC30A8
ccsb orf id: 9916,SLC30A8
ccsb orf id: 9916,SLC30A8
SLC30A3,SLC30A8
CD99L2,SLC30A8
CD99L2,SLC30A8
CD99L2,SLC30A8
CD99L2,SLC30A8
SLC18A1,SLC30A8
SLC18A1,SLC30A8
SLC18A1,SLC30A8
TMEM9,SLC30A8
TMEM9,SLC30A8
TMEM9,SLC30A8
TMEM9,SLC30A8
PKMYT1,SLC30A8
AQP6,SLC30A8
AQP6,SLC30A8
SYS1,SLC30A8
SYS1,SLC30A8
SELENOK,SLC30A8
SELENOK,SLC30A8
REEP6,SLC30A8
REEP6,SLC30A8
ccsb orf id: 13502,SLC30A8
ccsb orf id: 13502,SLC30A8
DERL1,SLC30A8
DERL1,SLC30A8
THAP4,SLC30A8
THAP4,SLC30A8
THAP4,SLC30A8
THAP4,SLC30A8
TMEM14B,SLC30A8
TMEM14B,SLC30A8
TMEM14B,SLC30A8
TMEM14B,SLC30A8
SFT2D1,SLC30A8
SFT2D1,SLC30A8
ccsb orf id: 2260,SLC30A8
ccsb orf id: 2260,SLC30A8
JSRP1,SLC30A8
JSRP1,SLC30A8
JSRP1,SLC30A8
JSRP1,SLC30A8
PCNA,SLC30A8
PCNA,SLC30A8
RUSF1,SLC30A8
RUSF1,SLC30A8
RUSF1,SLC30A8
RUSF1,SLC30A8
BSND,SLC30A8
BSND,SLC30A8
BSND,SLC30A8
BSND,SLC30A8
CGRRF1,SLC30A8
CGRRF1,SLC30A8
CGRRF1,SLC30A8
CGRRF1,SLC30A8
FAM209A,SLC30A8
FAM209A,SLC30A8
GPR42,SLC30A8
GPR42,SLC30A8
YIPF6,SLC30A8
YIPF6,SLC30A8
SYT2,SLC30A8
SYT2,SLC30A8
SYT2,SLC30A8
SYT2,SLC30A8
TMEM139,SLC30A8
TMEM139,SLC30A8
TMEM139,SLC30A8
TMEM139,SLC30A8
SCN3B,SLC30A8
SCN3B,SLC30A8
SCN3B,SLC30A8
SCN3B,SLC30A8
ZFYVE27,SLC30A8
ZFYVE27,SLC30A8
ZFYVE27,SLC30A8
ZFYVE27,SLC30A8
OTULINL,SLC30A8
OTULINL,SLC30A8
MUC1,SLC30A8
MUC1,SLC30A8
FAM210B,SLC30A8
FAM210B,SLC30A8
FAM210B,SLC30A8
FAM210B,SLC30A8
ORMDL1,SLC30A8
ORMDL1,SLC30A8
PGRMC2,SLC30A8
PGRMC2,SLC30A8
ARL8B,SLC30A8
ARL8B,SLC30A8
LEUTX,SLC30A8
LEUTX,SLC30A8
ATP13A1,SLC30A8
ATP13A1,SLC30A8
CMTM7,SLC30A8
CMTM7,SLC30A8
YIPF4,SLC30A8
YIPF4,SLC30A8
TMEM208,SLC30A8
TMEM208,SLC30A8
TMEM80,SLC30A8
TMEM80,SLC30A8
TMEM80,SLC30A8
TMEM80,SLC30A8
RMDN3,SLC30A8
RMDN3,SLC30A8
RMDN3,SLC30A8
RMDN3,SLC30A8
ELOVL4,SLC30A8
ELOVL4,SLC30A8
ELOVL4,SLC30A8
ELOVL4,SLC30A8
RELL2,SLC30A8
RELL2,SLC30A8
RELL2,SLC30A8
RELL2,SLC30A8
CPLX4,SLC30A8
CPLX4,SLC30A8
TMEM52B,SLC30A8
TMEM52B,SLC30A8
CREB3L1,SLC30A8
CREB3L1,SLC30A8
CREB3L1,SLC30A8
CREB3L1,SLC30A8
CREB3L1,SLC30A8
CREB3L1,SLC30A8
CREB3L1,SLC30A8
CREB3L1,SLC30A8
CREB3L1,SLC30A8
CREB3L1,SLC30A8
TMEM237,SLC30A8
TMEM237,SLC30A8
TMEM237,SLC30A8
TMEM237,SLC30A8
BCL2L13,SLC30A8
BCL2L13,SLC30A8
BCL2L13,SLC30A8
BCL2L13,SLC30A8
RTN3,SLC30A8
RTN3,SLC30A8
RTN3,SLC30A8
SAR1A,SLC30A8
SAR1A,SLC30A8
SAR1A,SLC30A8
SAR1A,SLC30A8
FNDC9,SLC30A8
FNDC9,SLC30A8
FNDC9,SLC30A8
FNDC9,SLC30A8
ERGIC3,SLC30A8
ERGIC3,SLC30A8
ERGIC3,SLC30A8
ERGIC3,SLC30A8
SSMEM1,SLC30A8
SSMEM1,SLC30A8
SSMEM1,SLC30A8
SSMEM1,SLC30A8
HSD17B11,SLC30A8
HSD17B11,SLC30A8
HSD17B11,SLC30A8
HSD17B11,SLC30A8
REEP4,SLC30A8
REEP4,SLC30A8
